,cut_date,minute,shots_off_target_1,shots_off_target_2,blocked_shots_1,blocked_shots_2,bi_ chances_1,bi_ chances_2,big_chances_missed_1,big_chances_missed_2,hit_woodwork_1,hit_woodwork_2,counter_attacks_1,counter_attacks_2,counter_attack_shots_1,counter_attack_shots_2,counter_attack_goals_1,counter_attack_goals_2,shots_inside_box_1,shots_inside_box_2,shots_outside_box_1,shots_outside_box_2,goalkeeper_saves_1,goalkeeper_saves_2,goals_prevented_1,goals_prevented_2,accurate_passes_1,accurate_passes_2,long_balls_1,long_balls_2,Crosses_1,Crosses_2,Dribbles_1,Dribbles_2,Possession_lost_1,Possession_lost_2,Duels_won_1,Duels_won_2,Aerials_won_1,Aerials_won_2,Clearances_1,Clearances_2
4526,2024-02-05 12:22:45,nan,8.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,,,8.0,2.0,5.0,6.0,1.0,3.0,,,341.0,297.0,35|71,26|64,4|10,2|19,11|24,10|23,155.0,166.0,68.0,66.0,15.0,20.0,16.0,6.0
4527,2024-02-05 12:22:46,nan,3.0,7.0,4.0,6.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,1.0,6.0,12.0,6.0,7.0,2.0,4.0,,,349.0,366.0,29|53,22|58,1|16,2|13,9|20,16|27,137.0,137.0,60.0,55.0,13.0,11.0,17.0,21.0
4654,2024-02-05 12:26:11,nan,6.0,8.0,7.0,6.0,2.0,5.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,,,11.0,11.0,9.0,9.0,5.0,5.0,1.26,0.41,571.0,262.0,24|46,23|40,9|20,5|20,8|20,9|21,128.0,128.0,55.0,57.0,13.0,11.0,22.0,15.0
4703,2024-02-05 12:27:25,nan,7.0,2.0,12.0,3.0,3.0,1.0,2.0,0.0,1.0,0.0,,,,,,,19.0,6.0,6.0,1.0,0.0,4.0,-0.47,0.33,619.0,197.0,6|25,13|53,8|20,0|1,13|23,3|12,161.0,135.0,59.0,52.0,21.0,14.0,11.0,28.0
4763,2024-02-05 12:28:58,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
4764,2024-02-05 12:29:00,nan,6.0,5.0,10.0,4.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,,,16.0,8.0,4.0,5.0,2.0,3.0,-0.83,0.87,592.0,272.0,30|51,21|48,8|30,2|10,14|31,5|9,159.0,129.0,50.0,55.0,10.0,13.0,9.0,25.0
4796,2024-02-05 12:29:51,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
4806,2024-02-05 12:30:07,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,nan,nan,nan,nan,nan,nan,,,,,,,,
4896,2024-02-05 12:32:36,nan,3.0,7.0,0.0,2.0,2.0,3.0,0.0,3.0,0.0,2.0,,,,,,,4.0,10.0,3.0,5.0,6.0,1.0,,,207.0,533.0,29|64,27|56,4|15,6|24,9|16,2|9,130.0,147.0,44.0,54.0,17.0,16.0,22.0,6.0
4944,2024-02-05 12:33:54,nan,3.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,,,,,,,,,5.0,10.0,4.0,5.0,3.0,3.0,,,130.0,622.0,18|74,23|33,4|10,6|20,8|13,5|18,131.0,159.0,50.0,44.0,13.0,25.0,22.0,11.0
4948,2024-02-05 12:34:01,nan,6.0,4.0,5.0,1.0,6.0,1.0,5.0,1.0,,,1.0,1.0,1.0,1.0,,,14.0,6.0,3.0,3.0,4.0,4.0,,,483.0,264.0,56|95,24|79,9|36,5|9,12|23,9|15,179.0,151.0,62.0,55.0,25.0,13.0,8.0,38.0
